,分词结果,label,act_label,预测结果,人工分类
0,开通 五天 卡 到手,20,20,还款,还款
1,精简 卡片 一行 金凤 注销 只留  套卡 精简 卡片 一行 只留,21,21,销卡、销户,销卡、销户
2,白金 免年费 特权 进不去 黄,10,10,市场活动,市场活动
3,销户 申请 年 毕业 上班 办理 借给 姐夫 套现 乱整  年 月份 销户 问问 能批 前两天 没事 人民银行 征信 中心 查查 征信 想起 这事,21,21,销卡、销户,销卡、销户
4,销卡 小心 忽悠 前 几天 打电话 销卡 两天 回 访问 销卡 说 两年 提额 额度 太低 说 卡 剪 消 个免 年费 短信 不对劲 打电话 客服 说 没销 说 同意 免年费 销卡 说 同意 销卡 太 不靠 谱 挂 电话 销卡 短 信,21,21,销卡、销户,销卡、销户
5,菜卡 三年  菜卡 从没 提 分 前段 商城 买 电器 账单 卵,19,19,账单,账单
6,本想 申请 没想 几年 前 申卡 本想 买单吧  客服 告知  年 一点 印象 同事 提醒 前 几年 业务员 上门来 办过 只好 先补卡 收到 卡片 史 最低 菜 卡  额度  真 感人 现已 激活 一步 申请 请假 姿势 干,13,13,申请,申请
7,交通网 申未 开卡 以卡办卡 曲线 前 几天 找 车头 网申 金卡 额度  收到 卡 先 激活 叫个 卡员 上门 以卡办卡 办 悠逸白 曲线 可行  卡,13,13,申请,申请
8,额度 逾期 月份 逾期 上个月 号  开卡 额度 逾期 月份 逾期 上个月 号  昨天  打电话 说  开卡能 信,4,4,信用记录,信用记录
9,元 套路 封控 元,20,20,还款,还款
10,境外 刷卡金  境外 银联 刷卡金 单笔 抵扣 % 境外 方法 撸,10,10,市场活动,市场活动
11,现金 折 现金 征信 信用 额度 共享,8,8,好享贷,好享贷
12,坎坷 人生 首卡 审批 说 说 经历  年 大专 毕业 月薪  撸 太多 网贷 去年 年底 还清 逾期 征信 花 一塌糊涂 征信 查  笔 第一次 太 可怕 决心 再也 碰 前 几天 无聊 推 美丽 女人 卡 挺 好看 就试 网申 秒 拒 不信邪 再申  隔 业务员 来到 单位 一套 流程 走 完 信心 告诉 会批 第二天 一查 拒 那种 滋味 不安分 再申 青年 卡 隔 电话 回访 核对 信息 填 资料 公司 电话 还给 错 客服 问 新 说 更改 漫长 网上 秒 批 秒 拒 十分钟 没戏 抱 试试 心态 申 民生 秒 拒 工资卡 哪家 哪家 网申 秒 拒 这时候 心灰意冷 批 房贷 凉 收到 短信 青年 卡 审批 额度  激动 额度 不算 太高 说实话 情况 额度 开心 表达 感谢 那位 帮 改 回访 小姐姐 好感 倍增 再就是 劝 深陷 网贷 朋友 早点 上岸 珍惜 征信,4,4,信用记录,信用记录
